Nr	t[s]	Tytul	Tresc
-------------------------------------------------------------
1	0.02	--->	Tworzenie swiata.
2	0.022	<---	Tworzenie swiata.
3	0.034	OK	Tworzenie wejscia kontrolerow.
4	0.037	OK	Tworzenie klawiatury.
5	0.038	OK	Tworzenie myszy
6	0.04	OK	Ustawienie formatu danych klawiatury.
7	0.041	OK	Ustawienie wspolpracy klawiatury z oknem gry.
8	0.043	OK	Rezerwacja klawiatury.
9	0.044	OK	Ustawienie formatu danych myszy.
10	0.045	OK	Ustawienie wspolpracy myszy z oknem gry.
11	0.046	OK	Rezerwacja myszy.
12	0.047	--->	Logika::inic3W().
13	0.069	OK	.	Tworz interfejsy: karty, renderowania i lancucha.
14	0.07	OK	.	Przypisz bufor tylny do interfejsu.
15	0.07	OK	.	Tworz widok bufora tylnego.
16	0.071	OK	.	Tworzenie bufora glebi i szablonu.
17	0.072	OK	.	Tworzenie widoku glebi i szablonu.
18	0.073	<---	.	Logika::inic3W().
19	0.073	OK	.	.	Wgraj wierzcholki.
20	0.074	OK	.	.	Wgraj indeksy.
21	0.084	OK	.	.	Wgranie tekstury.
22	0.085	OK	.	.	Tworz bufor z laczeniem 1.
23	0.086	OK	.	.	Tworz bufor z laczeniem 2.
24	0.086	OK	.	.	Wypelnij bufor wierzcholkow.
25	0.087	OK	.	.	Wypelnij bufor indeksow.
26	0.088	OK	.	.	Wgraj wierzcholki.
27	0.088	OK	.	.	Wgraj indeksy.
28	0.101	OK	.	.	Wgranie tekstury.
29	0.102	OK	.	.	Tworz bufor z laczeniem 1.
30	0.103	OK	.	.	Tworz bufor z laczeniem 2.
31	0.104	OK	.	.	Wypelnij bufor wierzcholkow.
32	0.105	OK	.	.	Wypelnij bufor indeksow.
33	0.106	OK	.	.	Wgraj wierzcholki.
34	0.106	OK	.	.	Wgraj indeksy.
35	0.111	OK	.	.	Wgranie tekstury.
36	0.113	OK	.	.	Tworz bufor z laczeniem 1.
37	0.113	OK	.	.	Tworz bufor z laczeniem 2.
38	0.114	OK	.	.	Wypelnij bufor wierzcholkow.
39	0.115	OK	.	.	Wypelnij bufor indeksow.
40	0.115	--->	.	.	Tworz ObiektZbior.
41	0.116	<---	.	.	.	Tworz ObiektZbior.
42	0.117	OK	.	.	.	.	Wgraj wierzcholki.
43	0.117	OK	.	.	.	.	Wgraj indeksy.
44	0.119	OK	.	.	.	.	Wgranie tekstury.
45	0.12	OK	.	.	.	.	Tworz bufor z laczeniem 1.
46	0.121	OK	.	.	.	.	Tworz bufor z laczeniem 2.
47	0.122	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
48	0.122	OK	.	.	.	.	Wypelnij bufor indeksow.
49	0.123	OK	.	.	.	.	Wgraj wierzcholki.
50	0.124	OK	.	.	.	.	Wgraj indeksy.
51	0.126	OK	.	.	.	.	Wgranie tekstury.
52	0.127	OK	.	.	.	.	Tworz bufor z laczeniem 1.
53	0.128	OK	.	.	.	.	Tworz bufor z laczeniem 2.
54	0.129	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
55	0.13	OK	.	.	.	.	Wypelnij bufor indeksow.
56	0.131	OK	.	.	.	.	Wgraj wierzcholki.
57	0.132	OK	.	.	.	.	Wgraj indeksy.
58	0.133	OK	.	.	.	.	Wgranie tekstury.
59	0.134	OK	.	.	.	.	Tworz bufor z laczeniem 1.
60	0.135	OK	.	.	.	.	Tworz bufor z laczeniem 2.
61	0.136	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
62	0.137	OK	.	.	.	.	Wypelnij bufor indeksow.
63	0.137	OK	.	.	.	.	Wgraj wierzcholki.
64	0.138	OK	.	.	.	.	Wgraj indeksy.
65	0.14	OK	.	.	.	.	Wgranie tekstury.
66	0.141	OK	.	.	.	.	Tworz bufor z laczeniem 1.
67	0.142	OK	.	.	.	.	Tworz bufor z laczeniem 2.
68	0.142	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
69	0.143	OK	.	.	.	.	Wypelnij bufor indeksow.
70	0.144	OK	.	.	.	.	Wgraj wierzcholki.
71	0.144	OK	.	.	.	.	Wgraj indeksy.
72	0.146	OK	.	.	.	.	Wgranie tekstury.
73	0.147	OK	.	.	.	.	Tworz bufor z laczeniem 1.
74	0.148	OK	.	.	.	.	Tworz bufor z laczeniem 2.
75	0.148	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
76	0.149	OK	.	.	.	.	Wypelnij bufor indeksow.
