Nr	t[s]	dt[s]	Tytul	Tresc
-------------------------------------------------------------
1	0.011	0.013	--->	Tworzenie swiata.
2	0.013	0.002	<---	Tworzenie swiata.
3	0.019	0.006	OK	Tworzenie wejscia kontrolerow.
4	0.021	0.002	OK	Tworzenie klawiatury.
5	0.022	0.001	OK	Tworzenie myszy
6	0.023	0.001	OK	Ustawienie formatu danych klawiatury.
7	0.024	0.001	OK	Ustawienie wspolpracy klawiatury z oknem gry.
8	0.026	0.002	OK	Rezerwacja klawiatury.
9	0.027	0.001	OK	Ustawienie formatu danych myszy.
10	0.028	0.001	OK	Ustawienie wspolpracy myszy z oknem gry.
11	0.028	0	OK	Rezerwacja myszy.
12	0.029	0.001	--->	Logika::inic3W().
13	0.047	0.018	OK	.	Tworz interfejsy: karty, renderowania i lancucha.
14	0.048	0.001	OK	.	Przypisz bufor tylny do interfejsu.
15	0.049	0.001	OK	.	Tworz widok bufora tylnego.
16	0.049	0	OK	.	Tworzenie bufora glebi i szablonu.
17	0.05	0.001	OK	.	Tworzenie widoku glebi i szablonu.
18	0.051	0.001	<---	.	Logika::inic3W().
19	0.051	0	OK	.	.	Wgraj wierzcholki.
20	0.052	0.001	OK	.	.	Wgraj indeksy.
21	0.057	0.005	OK	.	.	Wgranie tekstury.
22	0.059	0.002	OK	.	.	Tworz bufor z laczeniem 1.
23	0.06	0.001	OK	.	.	Tworz bufor z laczeniem 2.
24	0.06	0	OK	.	.	Wypelnij bufor wierzcholkow.
25	0.061	0.001	OK	.	.	Wypelnij bufor indeksow.
26	0.061	0	OK	.	.	Wgraj wierzcholki.
27	0.062	0.001	OK	.	.	Wgraj indeksy.
28	0.075	0.013	OK	.	.	Wgranie tekstury.
29	0.076	0.001	OK	.	.	Tworz bufor z laczeniem 1.
30	0.077	0.001	OK	.	.	Tworz bufor z laczeniem 2.
31	0.078	0.001	OK	.	.	Wypelnij bufor wierzcholkow.
32	0.078	0	OK	.	.	Wypelnij bufor indeksow.
33	0.079	0.001	OK	.	.	Wgraj wierzcholki.
34	0.08	0.001	OK	.	.	Wgraj indeksy.
35	0.085	0.005	OK	.	.	Wgranie tekstury.
36	0.086	0.001	OK	.	.	Tworz bufor z laczeniem 1.
37	0.087	0.001	OK	.	.	Tworz bufor z laczeniem 2.
38	0.087	0	OK	.	.	Wypelnij bufor wierzcholkow.
39	0.088	0.001	OK	.	.	Wypelnij bufor indeksow.
40	0.088	0	--->	.	.	Tworz ObiektZbior.
41	0.089	0.001	<---	.	.	.	Tworz ObiektZbior.
42	0.09	0.001	OK	.	.	.	.	Wgraj wierzcholki.
43	0.09	0	OK	.	.	.	.	Wgraj indeksy.
44	0.092	0.002	OK	.	.	.	.	Wgranie tekstury.
45	0.093	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
46	0.094	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
47	0.094	0	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
48	0.095	0.001	OK	.	.	.	.	Wypelnij bufor indeksow.
49	0.096	0.001	OK	.	.	.	.	Wgraj wierzcholki.
50	0.096	0	OK	.	.	.	.	Wgraj indeksy.
51	0.098	0.002	OK	.	.	.	.	Wgranie tekstury.
52	0.098	0	OK	.	.	.	.	Tworz bufor z laczeniem 1.
53	0.099	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
54	0.1	0.001	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
55	0.1	0	OK	.	.	.	.	Wypelnij bufor indeksow.
56	0.101	0.001	OK	.	.	.	.	Wgraj wierzcholki.
57	0.101	0	OK	.	.	.	.	Wgraj indeksy.
58	0.103	0.002	OK	.	.	.	.	Wgranie tekstury.
59	0.104	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
60	0.104	0	OK	.	.	.	.	Tworz bufor z laczeniem 2.
61	0.105	0.001	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
62	0.106	0.001	OK	.	.	.	.	Wypelnij bufor indeksow.
63	0.107	0.001	OK	.	.	.	.	Wgraj wierzcholki.
64	0.107	0	OK	.	.	.	.	Wgraj indeksy.
65	0.109	0.002	OK	.	.	.	.	Wgranie tekstury.
66	0.11	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
67	0.111	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
68	0.112	0.001	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
69	0.112	0	OK	.	.	.	.	Wypelnij bufor indeksow.
70	0.113	0.001	OK	.	.	.	.	Wgraj wierzcholki.
71	0.114	0.001	OK	.	.	.	.	Wgraj indeksy.
72	0.115	0.001	OK	.	.	.	.	Wgranie tekstury.
73	0.116	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
74	0.117	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
75	0.118	0.001	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
76	0.118	0	OK	.	.	.	.	Wypelnij bufor indeksow.
77	0.119	0.001	OK	.	.	.	.	Wgraj wierzcholki.
78	0.119	0	OK	.	.	.	.	Wgraj indeksy.
79	0.121	0.002	OK	.	.	.	.	Wgranie tekstury.
80	0.122	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
81	0.122	0	OK	.	.	.	.	Tworz bufor z laczeniem 2.
82	0.123	0.001	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
83	0.123	0	OK	.	.	.	.	Wypelnij bufor indeksow.
84	0.124	0.001	OK	.	.	.	.	Wgraj wierzcholki.
85	0.125	0.001	OK	.	.	.	.	Wgraj indeksy.
86	0.126	0.001	OK	.	.	.	.	Wgranie tekstury.
87	0.127	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
88	0.128	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
89	0.128	0	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
90	0.129	0.001	OK	.	.	.	.	Wypelnij bufor indeksow.
91	0.13	0.001	OK	.	.	.	.	Wgraj wierzcholki.
92	0.13	0	OK	.	.	.	.	Wgraj indeksy.
93	0.132	0.002	OK	.	.	.	.	Wgranie tekstury.
94	0.133	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
95	0.134	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
96	0.134	0	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
97	0.135	0.001	OK	.	.	.	.	Wypelnij bufor indeksow.
98	0.136	0.001	OK	.	.	.	.	Wgraj wierzcholki.
99	0.136	0	OK	.	.	.	.	Wgraj indeksy.
100	0.138	0.002	OK	.	.	.	.	Wgranie tekstury.
101	0.138	0	OK	.	.	.	.	Tworz bufor z laczeniem 1.
102	0.139	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
103	0.14	0.001	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
104	0.14	0	OK	.	.	.	.	Wypelnij bufor indeksow.
105	0.141	0.001	OK	.	.	.	.	Wgraj wierzcholki.
106	0.142	0.001	OK	.	.	.	.	Wgraj indeksy.
107	0.143	0.001	OK	.	.	.	.	Wgranie tekstury.
108	0.144	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 1.
109	0.145	0.001	OK	.	.	.	.	Tworz bufor z laczeniem 2.
110	0.145	0	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
111	0.146	0.001	OK	.	.	.	.	Wypelnij bufor indeksow.
112	0.147	0.001	OK	.	.	.	.	Wgraj wierzcholki.
113	0.148	0.001	OK	.	.	.	.	Wgraj indeksy.
114	0.149	0.001	OK	.	.	.	.	Wgranie tekstury.
